feature,importance,importance_std,split_id,train_end,horizon,model
HospRisk_rollmean12,0.0018298852214818529,0.00044254785932053487,1,2018-12-31,1,PLS
HospRisk_rollmean24,0.00010595632379507558,9.087641987164281e-05,1,2018-12-31,1,PLS
HospRisk_rollmean52,0.017755441863630837,0.00093400346183445,1,2018-12-31,1,PLS
HospRisk_ewm12,0.0008025807711376399,0.00026703763489651375,1,2018-12-31,1,PLS
HospRisk_ewm24,-4.224264814300937e-06,1.414178331764384e-05,1,2018-12-31,1,PLS
HospRisk_ewm52,0.0014891262897054503,0.00028100824989771034,1,2018-12-31,1,PLS
year,0.0,0.0,1,2018-12-31,1,XGBoost
month,0.000791911019833913,0.0004237478256833835,1,2018-12-31,1,XGBoost
quarter,0.0,0.0,1,2018-12-31,1,XGBoost
week_sin,0.00017629960228123242,0.00030543747061195857,1,2018-12-31,1,XGBoost
week_cos,0.0012782743212019997,0.0005223427608010273,1,2018-12-31,1,XGBoost
HospRisk_lag1,0.0006790867584012594,0.0003447212964007309,1,2018-12-31,1,XGBoost
HospRisk_lag2,0.0005770454976682104,0.00015744571738063868,1,2018-12-31,1,XGBoost
HospRisk_lag4,-4.101883618146673e-05,0.0002023836390606842,1,2018-12-31,1,XGBoost
HospRisk_lag8,-0.000133125557670849,0.00019051481310583163,1,2018-12-31,1,XGBoost
HospRisk_lag12,0.0010196879050385465,0.0004406194622273398,1,2018-12-31,1,XGBoost
HospRisk_lag24,0.00018354260780049093,0.00013014089428248934,1,2018-12-31,1,XGBoost
HospRisk_lag52,0.0004392605463755028,0.0002954512533012758,1,2018-12-31,1,XGBoost
HospRisk_rollmean12,0.021593998864671116,0.001324694799265313,1,2018-12-31,1,XGBoost
HospRisk_rollmean24,0.006908072614837923,0.000543639466235821,1,2018-12-31,1,XGBoost
HospRisk_rollmean52,0.023283851516764976,0.0008514420352008537,1,2018-12-31,1,XGBoost
HospRisk_ewm12,0.002452824255974001,0.00044500917845957644,1,2018-12-31,1,XGBoost
HospRisk_ewm24,0.003091440837173226,0.0006148834517166097,1,2018-12-31,1,XGBoost
HospRisk_ewm52,0.011203301073515286,0.0006459495118304084,1,2018-12-31,1,XGBoost
year,0.0,0.0,1,2018-12-31,1,LightGBM
month,0.001165587386968947,0.000495762859413243,1,2018-12-31,1,LightGBM
quarter,0.0,0.0,1,2018-12-31,1,LightGBM
week_sin,0.0002352779149349782,0.00033290276557418607,1,2018-12-31,1,LightGBM
week_cos,0.0006469983178331862,0.0003642300169891174,1,2018-12-31,1,LightGBM
HospRisk_lag1,0.00010181789427249899,0.0001164441645359702,1,2018-12-31,1,LightGBM
HospRisk_lag2,-7.266952085067668e-05,0.0001918876746767157,1,2018-12-31,1,LightGBM
HospRisk_lag4,-0.00016476177716863715,0.00020362845786029454,1,2018-12-31,1,LightGBM
HospRisk_lag8,-8.430066109806345e-05,0.0001417768695837869,1,2018-12-31,1,LightGBM
HospRisk_lag12,0.0009221320670684763,0.0002626425324788415,1,2018-12-31,1,LightGBM
HospRisk_lag24,0.00017757469285078486,0.00017033097927833865,1,2018-12-31,1,LightGBM
HospRisk_lag52,6.166859079150821e-05,0.0004371030256708784,1,2018-12-31,1,LightGBM
HospRisk_rollmean12,0.004123028289212366,0.0008247397636482059,1,2018-12-31,1,LightGBM
HospRisk_rollmean24,0.004272119853764317,0.0003595584906675348,1,2018-12-31,1,LightGBM
HospRisk_rollmean52,0.01695197491491134,0.0009286667951840294,1,2018-12-31,1,LightGBM
HospRisk_ewm12,0.0009730155318313838,0.00024336316298407903,1,2018-12-31,1,LightGBM
HospRisk_ewm24,1.6613512781127325e-05,0.00016376080663360902,1,2018-12-31,1,LightGBM
HospRisk_ewm52,0.0029755541962069587,0.0003200149957851021,1,2018-12-31,1,LightGBM
year,0.0,0.0,1,2018-12-31,1,CatBoost
month,0.0009851214232749427,0.00030226654194232824,1,2018-12-31,1,CatBoost
quarter,1.0743754933068006e-05,2.3971974580817366e-05,1,2018-12-31,1,CatBoost
week_sin,4.454480505616809e-06,0.0002728939931777049,1,2018-12-31,1,CatBoost
week_cos,0.0003562527100233304,0.0003117506172786555,1,2018-12-31,1,CatBoost
HospRisk_lag1,0.0006587376749199236,0.00016247467976028077,1,2018-12-31,1,CatBoost
HospRisk_lag2,3.439787250146264e-05,8.913478268792264e-05,1,2018-12-31,1,CatBoost
HospRisk_lag4,5.422867454258351e-05,0.00017856775571551352,1,2018-12-31,1,CatBoost
HospRisk_lag8,-0.00012626230737792788,0.00016097745834570614,1,2018-12-31,1,CatBoost
HospRisk_lag12,0.0010247712673166986,0.00013918831253305767,1,2018-12-31,1,CatBoost
HospRisk_lag24,0.0003306768507722102,0.00011330693854465892,1,2018-12-31,1,CatBoost
HospRisk_lag52,0.0013671469106851185,0.00016381740511256783,1,2018-12-31,1,CatBoost
HospRisk_rollmean12,0.0006749961061649545,0.0004323009329571245,1,2018-12-31,1,CatBoost
HospRisk_rollmean24,0.0014154840398733937,0.00018579180435182008,1,2018-12-31,1,CatBoost
HospRisk_rollmean52,0.006904231431739416,0.00046412032479679097,1,2018-12-31,1,CatBoost
HospRisk_ewm12,0.0002607697283632859,0.00020344374750827832,1,2018-12-31,1,CatBoost
HospRisk_ewm24,0.00022302044843996449,0.00017599290639224298,1,2018-12-31,1,CatBoost
HospRisk_ewm52,0.0022259191291286395,0.00037500797926671195,1,2018-12-31,1,CatBoost
year,0.0,0.0,1,2018-12-31,4,Ridge
month,9.597305825382873e-05,0.00018518262221472786,1,2018-12-31,4,Ridge
quarter,0.0005845508678220867,0.00013277482811685433,1,2018-12-31,4,Ridge
week_sin,3.14976265329947e-05,3.133646437416518e-05,1,2018-12-31,4,Ridge
week_cos,0.00016439691913174847,9.807928293118901e-05,1,2018-12-31,4,Ridge
HospRisk_lag1,0.00019931508959729062,0.00019016725953058172,1,2018-12-31,4,Ridge
HospRisk_lag2,2.4265509788590213e-05,4.1228048817928404e-05,1,2018-12-31,4,Ridge
HospRisk_lag4,-7.114110562738141e-05,5.5237578811322364e-05,1,2018-12-31,4,Ridge
HospRisk_lag8,-0.00011730984490190832,6.116530994021968e-05,1,2018-12-31,4,Ridge
HospRisk_lag12,0.00012711425646899088,8.857588413566629e-05,1,2018-12-31,4,Ridge
HospRisk_lag24,-2.654094112721217e-05,9.212358400201314e-05,1,2018-12-31,4,Ridge
HospRisk_lag52,0.00015983480909384506,0.00016278290148335502,1,2018-12-31,4,Ridge
HospRisk_rollmean12,0.0015365199465207813,0.0004799686639270942,1,2018-12-31,4,Ridge
HospRisk_rollmean24,0.004894324307059111,0.0008955308329165643,1,2018-12-31,4,Ridge
HospRisk_rollmean52,0.05119990684918789,0.0026394325444751158,1,2018-12-31,4,Ridge
