State,model,rmse,mae
NORTH DAKOTA,ElasticNet,2.958076561561753,2.288368401708973
NORTH DAKOTA,Lasso,2.957769559165736,2.288049836764086
NORTH DAKOTA,LightGBM,2.5470690821567694,2.0261956734673663
NORTH DAKOTA,PLS,2.966710194826971,2.2939325962033403
NORTH DAKOTA,Ridge,2.9492723278583095,2.2824005767830697
NORTH DAKOTA,XGBoost,2.5686220984969967,2.0594604536890984
OHIO,CatBoost,8.122466260644282,6.58300978409422
OHIO,ElasticNet,8.713035645764666,7.323145943177155
OHIO,Lasso,8.713302302998523,7.323316536677214
OHIO,LightGBM,7.287531434321702,6.03745929276453
OHIO,PLS,8.752633239742217,7.3487572270868355
OHIO,Ridge,8.696882236628937,7.243946047159684
OHIO,XGBoost,6.933981108200577,5.690825740496318
OKLAHOMA,CatBoost,4.2454425570290955,3.474619139084748
OKLAHOMA,ElasticNet,4.329872251963701,3.481021546972299
OKLAHOMA,Lasso,4.330013771206714,3.48106512145516
OKLAHOMA,LightGBM,3.9745513802222665,3.230347652234691
OKLAHOMA,PLS,4.297151108326827,3.462806676459993
OKLAHOMA,Ridge,4.380449269268565,3.504806245847012
OKLAHOMA,XGBoost,3.9527102725147008,3.1882307628790536
PENNSYLVANIA,CatBoost,8.717689975384795,7.155177046577822
PENNSYLVANIA,ElasticNet,9.41442356346325,7.663658881282558
PENNSYLVANIA,Lasso,9.41486691878325,7.663902463124632
PENNSYLVANIA,LightGBM,8.076908974675668,6.600118181225343
PENNSYLVANIA,PLS,9.397154294853195,7.636653769355611
PENNSYLVANIA,Ridge,9.274689712213226,7.566825497317876
PENNSYLVANIA,XGBoost,7.724009088626989,6.241893808046977
RHODE ISLAND,CatBoost,1.6770540549769926,1.3718687844130724
RHODE ISLAND,ElasticNet,1.9009874568069753,1.5107378993269587
RHODE ISLAND,Lasso,1.9008459918934786,1.5106532476878554
RHODE ISLAND,LightGBM,1.6047807810241965,1.3092901861508177
RHODE ISLAND,PLS,1.8746247403406127,1.4893638652473582
RHODE ISLAND,Ridge,1.909935983899381,1.523884490061543
RHODE ISLAND,XGBoost,1.5659127451551726,1.28953149728477
SOUTH DAKOTA,CatBoost,2.240566072048099,1.7560509832739541
SOUTH DAKOTA,ElasticNet,2.322937886901359,1.82741780877219
SOUTH DAKOTA,Lasso,2.3229091018622543,1.8273945907393945
SOUTH DAKOTA,LightGBM,2.1442424578583474,1.687262804325296
SOUTH DAKOTA,PLS,2.3245158639148418,1.821397350561299
SOUTH DAKOTA,Ridge,2.346934781469276,1.8383520686072183
SOUTH DAKOTA,XGBoost,2.13145286061891,1.682954418162505
TEXAS,CatBoost,9.610196445756525,7.3072214922843814
TEXAS,ElasticNet,15.79420798319904,12.684451357213627
TEXAS,Lasso,15.793696857010087,12.68408367224873
TEXAS,LightGBM,8.544687168699909,6.938877396466016
TEXAS,PLS,15.881540584981577,12.729757388331508
TEXAS,Ridge,15.70956807385094,12.80997826374841
TEXAS,XGBoost,6.510444904233962,4.9394253094991045
WEST VIRGINIA,CatBoost,2.8862814012193354,2.3437143400544103
