model,rmse,mae
CatBoost,5.1360428815469685,3.6679684759300795
ElasticNet,5.908594503954119,3.9994233572922693
Lasso,5.908621031344075,3.999434786642243
LightGBM,4.617307303195512,3.3649071268903543
PLS,5.925167568222186,4.004861716011091
Ridge,5.890055547479114,4.0063716403096
XGBoost,4.441048039713526,3.25184826085137
