model,rmse,mae
CatBoost,5.14980515064554,3.685028800358405
ElasticNet,5.929891317486477,4.00476953054594
Lasso,5.929919373737591,4.004790892466538
LightGBM,4.6930196940060664,3.4095075323706094
PLS,5.942914606113873,4.009271367658844
Ridge,5.9114215843599425,4.011144681911568
XGBoost,4.461729914044044,3.2645326756768758
