State,model,rmse,mae
ALABAMA,CatBoost_h1,6.092962206663089,4.903280557941012
ALABAMA,CatBoost_h12,6.304031078349108,4.900440035307983
ALABAMA,CatBoost_h3,6.290942816301589,4.8180511441759775
ALABAMA,CatBoost_h6,6.27679857055715,4.978923350191983
ALABAMA,ElasticNet_h1,6.154624621371909,4.81523691427001
ALABAMA,ElasticNet_h12,6.625071322082321,5.277133257051365
ALABAMA,ElasticNet_h3,6.375967461155304,5.02251994152809
ALABAMA,ElasticNet_h6,6.24762610133346,4.833106747560965
ALABAMA,Lasso_h1,6.154621094009159,4.8152338368002185
ALABAMA,Lasso_h12,6.625333047446366,5.27736748117375
ALABAMA,Lasso_h3,6.376161657107157,5.022545844995207
ALABAMA,Lasso_h6,6.247886352784503,4.833587395527027
ALABAMA,LightGBM_h1,5.468609873990179,4.341110748162393
ALABAMA,LightGBM_h12,5.85010306538901,4.55086842276152
ALABAMA,LightGBM_h3,5.70615162965834,4.384464126080744
ALABAMA,LightGBM_h6,5.611247289960366,4.376158483057597
ALABAMA,PLS_h1,6.202640289903476,4.836615911917696
ALABAMA,PLS_h12,6.647863731066159,5.2972622195020715
ALABAMA,PLS_h3,6.3501452676275125,5.0178548477022575
ALABAMA,PLS_h6,6.244126295824924,4.833325224054708
ALABAMA,Ridge_h1,6.201022122228521,4.823619888685605
ALABAMA,Ridge_h12,6.623050244196272,5.3492481231045454
ALABAMA,Ridge_h3,6.382423573518894,5.024336384057476
ALABAMA,Ridge_h6,6.313128270856605,4.891994537792617
ALABAMA,XGBoost_h1,5.329506926497742,4.236043751239777
ALABAMA,XGBoost_h12,5.8482452161435114,4.502683937549591
ALABAMA,XGBoost_h3,5.6581178869504525,4.3143958648045855
ALABAMA,XGBoost_h6,5.576434816334365,4.378158171971639
ARKANSAS,CatBoost_h1,4.049742893255923,3.2518390073322236
ARKANSAS,CatBoost_h12,3.932909938594759,3.1214125630852707
ARKANSAS,CatBoost_h3,3.9589630887502545,3.053126379066942
ARKANSAS,CatBoost_h6,3.9860648349154815,3.0302971518158954
ARKANSAS,ElasticNet_h1,4.07250473525343,3.254627082505191
ARKANSAS,ElasticNet_h12,4.015008428669084,3.3196280804204457
ARKANSAS,ElasticNet_h3,4.071944472987823,3.2588248962092123
ARKANSAS,ElasticNet_h6,3.8553325886010628,3.043808044451447
ARKANSAS,Lasso_h1,4.072324798157476,3.2543772249127136
ARKANSAS,Lasso_h12,4.014906416777444,3.319509781118949
ARKANSAS,Lasso_h3,4.071930171435597,3.258760783117589
ARKANSAS,Lasso_h6,3.8552847803290184,3.043763680098339
ARKANSAS,LightGBM_h1,3.6636836605985432,2.8903242051873157
ARKANSAS,LightGBM_h12,3.4655945332743254,2.8162001881851744
