State,model,rmse,mae
KANSAS,XGBoost,4.272696477957123,3.413860410451889
LOUISIANA,CatBoost,4.59714179725367,3.70941702994991
LOUISIANA,ElasticNet,4.739887667034798,3.700729805757303
LOUISIANA,Lasso,4.740042849137396,3.700765626414397
LOUISIANA,LightGBM,4.364312979850429,3.5195826820402067
LOUISIANA,PLS,4.789583406615857,3.7291637925857355
LOUISIANA,Ridge,4.700632251860247,3.706310810467304
LOUISIANA,XGBoost,4.367492973279313,3.5162705779075623
MAINE,CatBoost,2.375559385727415,1.8581485527242159
MAINE,ElasticNet,2.398240403961672,1.9116503449988682
MAINE,Lasso,2.398160078543135,1.9116477039722015
MAINE,LightGBM,2.28421464904992,1.840030016473474
MAINE,PLS,2.390440425284774,1.9020354614617425
MAINE,Ridge,2.420899488469968,1.92919386853857
MAINE,XGBoost,2.2461295114727378,1.79328307757775
MASSACHUSETTS,CatBoost,3.8194203729907743,3.103078711193026
MASSACHUSETTS,ElasticNet,4.042430308441932,3.391272167586426
MASSACHUSETTS,Lasso,4.042514730291397,3.391345985342616
MASSACHUSETTS,LightGBM,3.7427939446929663,3.0948814699120746
MASSACHUSETTS,PLS,4.033526229946516,3.3894905651074203
MASSACHUSETTS,Ridge,4.09914091079849,3.4584728248608845
MASSACHUSETTS,XGBoost,3.741517873787532,3.083059330781301
MISSISSIPPI,CatBoost,4.261346202390713,3.381960551802628
MISSISSIPPI,ElasticNet,4.395482561242846,3.3955475897690213
MISSISSIPPI,Lasso,4.3955739193816274,3.395630300339834
MISSISSIPPI,LightGBM,3.9721281182395596,3.0869964381281925
MISSISSIPPI,PLS,4.393753234253974,3.3818383153729723
MISSISSIPPI,Ridge,4.370863916626502,3.404021261095316
MISSISSIPPI,XGBoost,3.8975228917901075,3.0249065309762955
MISSOURI,CatBoost,4.978996341317218,4.112323327773916
MISSOURI,ElasticNet,5.172313450407879,4.159284955103943
MISSOURI,Lasso,5.172330046113257,4.159423626352069
MISSOURI,LightGBM,4.695058207630884,3.866908517094181
MISSOURI,PLS,5.205077233284192,4.2009902406908175
MISSOURI,Ridge,5.1595904722876975,4.119714730822094
MISSOURI,XGBoost,4.634989866333168,3.768572906653086
MONTANA,CatBoost,2.1242912926010162,1.6780134665713449
MONTANA,ElasticNet,2.2705668364484843,1.7979257776267419
MONTANA,Lasso,2.2705925235352575,1.797989176674027
MONTANA,LightGBM,2.053853128224919,1.633250061977187
MONTANA,PLS,2.264497559374209,1.7903934568097195
MONTANA,Ridge,2.2876171444666573,1.8104357043734094
MONTANA,XGBoost,2.0698761575267537,1.6348631158471107
NEBRASKA,CatBoost,3.8944030141313557,3.0878421887133967
NEBRASKA,ElasticNet,3.864749948173001,3.0977564978620165
NEBRASKA,Lasso,3.8648869453760595,3.097862573584085
NEBRASKA,LightGBM,3.7192845494181936,3.071168476315659
NEBRASKA,PLS,3.8830408396449925,3.116141609999134
NEBRASKA,Ridge,3.8575837710401912,3.0955213880167736
NEBRASKA,XGBoost,3.6502161621705587,3.02423827846845
NEW HAMPSHIRE,CatBoost,2.3766530230946334,1.9629368860787337
NEW HAMPSHIRE,ElasticNet,2.459338195094774,1.9578697607178086
NEW HAMPSHIRE,Lasso,2.4593058601791595,1.957844475408636
NEW HAMPSHIRE,LightGBM,2.2964544539744782,1.9052116839536837
NEW HAMPSHIRE,PLS,2.4620004128876762,1.9541397815786612
NEW HAMPSHIRE,Ridge,2.4470292471804957,1.9573077298297032
NEW HAMPSHIRE,XGBoost,2.2954903451919573,1.9121329362193744
NEW JERSEY,CatBoost,4.832353623327216,3.9057862560927847
NEW JERSEY,ElasticNet,4.956475121881639,3.9071056460514093
NEW JERSEY,Lasso,4.956345929735785,3.906995042189917
NEW JERSEY,LightGBM,4.359725766620313,3.5031613643620383
NEW JERSEY,PLS,4.955180049291922,3.902943303976769
NEW JERSEY,Ridge,4.9724072976885125,3.901097623308477
NEW JERSEY,XGBoost,4.319089848334019,3.4937707682450614
NEW YORK,CatBoost,6.0870254217884945,4.763600089411607
NEW YORK,ElasticNet,6.184380862292725,4.893169100043653
NEW YORK,Lasso,6.184429301072206,4.893173656565154
NEW YORK,LightGBM,5.467905893429071,4.408173988961447
NEW YORK,PLS,6.180442944459343,4.914907034917039
NEW YORK,Ridge,6.215642466086228,4.933692715558471
NEW YORK,XGBoost,5.280026633451819,4.259179969628652
NORTH DAKOTA,CatBoost,2.672286932800474,2.135065796877489
NORTH DAKOTA,ElasticNet,2.8792102053519923,2.196575146120932
NORTH DAKOTA,Lasso,2.878910916915831,2.1964093815171357
NORTH DAKOTA,LightGBM,2.5505165962797105,2.017832626600927
NORTH DAKOTA,PLS,2.8746551824477713,2.198399936540683
NORTH DAKOTA,Ridge,2.8691733497292455,2.1847455915273066
NORTH DAKOTA,XGBoost,2.547552351179603,2.026655981938044
OHIO,CatBoost,8.03821776697889,6.5502265013910765
OHIO,ElasticNet,8.753713615337963,7.355666586617059
OHIO,Lasso,8.75396572125715,7.355923757429859
OHIO,LightGBM,7.3743077168680635,6.022004698019029
OHIO,PLS,8.847132323380164,7.40819199557047
OHIO,Ridge,8.735825010018791,7.2743920134105124
OHIO,XGBoost,6.843582217224356,5.591143568356832
OKLAHOMA,CatBoost,4.255942485056938,3.4587318846380786
OKLAHOMA,ElasticNet,4.273825966041399,3.488537212584515
OKLAHOMA,Lasso,4.2739329694557835,3.4886090618160517
OKLAHOMA,LightGBM,4.028019699836987,3.277250309986087
OKLAHOMA,PLS,4.263733358938582,3.490430857278584
OKLAHOMA,Ridge,4.328289646303058,3.503407691971662
OKLAHOMA,XGBoost,3.9985759375267427,3.2227220435937247
PENNSYLVANIA,CatBoost,9.015766006505428,7.387294362039303
PENNSYLVANIA,ElasticNet,9.45480796461299,7.700833450332969
PENNSYLVANIA,Lasso,9.455251805172741,7.701127476749676
PENNSYLVANIA,LightGBM,8.02076423922549,6.526674014379854
PENNSYLVANIA,PLS,9.47271714916265,7.696968294688733
PENNSYLVANIA,Ridge,9.317833656374779,7.604781242235532
PENNSYLVANIA,XGBoost,7.541220054650824,6.037000258763631
RHODE ISLAND,CatBoost,1.6390238185080102,1.3542849314501426
RHODE ISLAND,ElasticNet,1.8293040198286568,1.5042741523530652
RHODE ISLAND,Lasso,1.829046701430022,1.504052069499986
RHODE ISLAND,LightGBM,1.612321358172687,1.318765302400581
RHODE ISLAND,PLS,1.806550615318011,1.4781935180880514
RHODE ISLAND,Ridge,1.840935765340813,1.5212555154058311
RHODE ISLAND,XGBoost,1.5996385320246083,1.3113521337509155
SOUTH DAKOTA,CatBoost,2.1940721357722404,1.711845385001082
