model,train_MAE,train_RMSE,test_MAE,test_RMSE
Ridge,14.344560894018079,18.03432285680858,15.706414376404556,19.738904520554417
Lasso,14.345877330877324,18.033351558256697,15.713702226220196,19.742873051366598
ElasticNet,14.344174260710066,18.043180622519028,15.756171479534633,19.770067887002934
PLS(n_components=10),14.36521200585586,18.04381787749957,15.902084126899105,19.814135123310233
