model,train_MAE,train_RMSE,test_MAE,test_RMSE
ETS,15.269712754167587,19.49452918733021,16.899536729437877,20.062606278656112
"ARIMA(3, 1, 3)",22.865575514383277,36.40733053946602,18.355068282477923,20.696324008551944
"SARIMA(0, 1, 2)x(0, 1, 1, 12)",23.17510529741806,36.48032902061422,19.92185681923012,24.241098089694948
"SARIMA(1, 0, 1)x(1, 1, 1, 12)_multistep",26.32216900512679,40.36441038867946,22.664088555806643,28.792192409645313
