model,train_MAE,train_RMSE,test_MAE,test_RMSE
Ridge,41.960379987520554,49.80347785649212,26.066982004473655,33.45498042827608
Lasso,41.60183216835576,48.88543104566877,25.01532941337991,33.3919513970851
ElasticNet,41.701809913817094,49.369747410963036,25.419414622979623,33.18262403526122
PLS(n_components=10),42.06565012841515,49.45985193352165,25.381382920421263,33.01818684121434
