model,train_MAE,train_RMSE,test_MAE,test_RMSE
"SARIMA_(3, 1, 3)_(0, 0, 0, 0)_rolling",59.892397971448815,93.91074581985667,39.695699654390125,49.894240474300446
ETS_add_add_rolling,37.16541694458859,46.8360475753816,22.285602120807397,29.82753410725837
"SARIMA_(0, 1, 2)_(0, 1, 1, 12)_rolling",54.99165932213642,94.34896875169709,23.086646535564075,30.45567921268526
