model,RMSE,MAE,MASE
CatBoost,0.283 ± 0.163,0.234 ± 0.139,0.793 ± 0.222
ElasticNet,0.326 ± 0.219,0.273 ± 0.195,0.920 ± 0.453
Lasso,0.322 ± 0.218,0.269 ± 0.194,0.905 ± 0.439
LightGBM,0.278 ± 0.155,0.231 ± 0.133,0.783 ± 0.216
PLS,0.322 ± 0.203,0.268 ± 0.178,0.912 ± 0.422
Ridge,0.305 ± 0.187,0.254 ± 0.163,0.865 ± 0.380
Seasonal Naive,0.341 ± 0.191,0.276 ± 0.155,0.941 ± 0.260
XGBoost,0.300 ± 0.176,0.245 ± 0.150,0.825 ± 0.216
