split_id,train_end,horizon,model,set,n_rows,MAE,RMSE,MASE
3,2020-12-01,1,Lasso,test,360,0.27425761226130635,0.3961548147619477,0.90066152615492
3,2020-12-01,1,ElasticNet,train,1800,0.18567875103095477,0.25705194403464887,0.6206479126736488
3,2020-12-01,1,ElasticNet,test,360,0.2771705158149234,0.40091527610067157,0.9111222362319066
3,2020-12-01,1,PLS,train,1800,0.18724600045777998,0.25938417157739757,0.6243814090122384
3,2020-12-01,1,PLS,test,360,0.2707897827076696,0.3874553549211306,0.8959886307523273
3,2020-12-01,1,XGBoost,train,1800,0.007182958863056728,0.010921519102136418,0.023113048924158046
3,2020-12-01,1,XGBoost,test,360,0.26006337309856586,0.3764554720542046,0.8766154327683185
3,2020-12-01,1,LightGBM,train,1800,0.16350123952462292,0.228365888916683,0.5415819600397441
3,2020-12-01,1,LightGBM,test,360,0.24947932945926216,0.33860433457735456,0.8288550679215967
3,2020-12-01,1,CatBoost,train,1800,0.04795660424119049,0.06712021330601427,0.15852229448492514
3,2020-12-01,1,CatBoost,test,360,0.2523866235876828,0.3640153021277365,0.8445700848978192
3,2020-12-01,3,Seasonal Naive,test,360,0.27121435491146434,0.3640574520038359,0.9381553573454802
3,2020-12-01,3,Ridge,train,1800,0.1861659733643427,0.2572821590904481,0.6246308476126293
3,2020-12-01,3,Ridge,test,360,0.24700152092989403,0.34165352484210193,0.8327845908222518
3,2020-12-01,3,Lasso,train,1800,0.18272277745594595,0.2514625610904897,0.6171027858726104
3,2020-12-01,3,Lasso,test,360,0.25522221043532206,0.3600184567957398,0.8537012988812664
3,2020-12-01,3,ElasticNet,train,1800,0.18207978242933726,0.2507438979726567,0.6148456487442453
3,2020-12-01,3,ElasticNet,test,360,0.2576369254313732,0.36535920482270107,0.8625936663048449
3,2020-12-01,3,PLS,train,1800,0.184418362946713,0.2549538642312917,0.6201229158788075
3,2020-12-01,3,PLS,test,360,0.25630414402825846,0.35467147434625174,0.8652234719710379
3,2020-12-01,3,XGBoost,train,1800,0.007696255554178427,0.01162937462729321,0.025632508738075235
3,2020-12-01,3,XGBoost,test,360,0.2452084003470913,0.33555347905011307,0.8409021375855953
3,2020-12-01,3,LightGBM,train,1800,0.16683890049832953,0.23154750988303008,0.553694700894676
3,2020-12-01,3,LightGBM,test,360,0.23836762906885084,0.32699389252736966,0.8100617324137993
3,2020-12-01,3,CatBoost,train,1800,0.04923721496384199,0.06843185135216738,0.16491338127272204
3,2020-12-01,3,CatBoost,test,360,0.2356092956742869,0.3193721323385935,0.810281705595806
3,2020-12-01,6,Seasonal Naive,test,360,0.2730195880640879,0.3723980640652232,0.9413796511016557
3,2020-12-01,6,Ridge,train,1800,0.1852914770933766,0.253254922023439,0.6308529392073461
3,2020-12-01,6,Ridge,test,360,0.24172055100781492,0.33826958244266986,0.8043188364441447
3,2020-12-01,6,Lasso,train,1800,0.1836760527050317,0.2502977604942404,0.6260378664277811
3,2020-12-01,6,Lasso,test,360,0.2490030878216915,0.35094940211565484,0.8255232151455384
3,2020-12-01,6,ElasticNet,train,1800,0.18306897592698254,0.24947630011375088,0.6233007417560144
3,2020-12-01,6,ElasticNet,test,360,0.25151470999468534,0.35534542135237795,0.8353201027647241
3,2020-12-01,6,PLS,train,1800,0.18432525327934615,0.2516027277199838,0.6266538606211098
3,2020-12-01,6,PLS,test,360,0.24965849815871372,0.34912594104772204,0.8376702171653074
3,2020-12-01,6,XGBoost,train,1800,0.007020235131604422,0.010439439942077959,0.024015654206894048
3,2020-12-01,6,XGBoost,test,360,0.24297861527016873,0.3428067613404822,0.8323388770252316
3,2020-12-01,6,LightGBM,train,1800,0.1628815098550354,0.22441401315394488,0.5448675471866719
3,2020-12-01,6,LightGBM,test,360,0.21826548051628505,0.30977188663041294,0.7280402352262775
3,2020-12-01,6,CatBoost,train,1800,0.04552947665194503,0.061674963420349824,0.15689950610546324
3,2020-12-01,6,CatBoost,test,360,0.23591006717380386,0.33459956261966506,0.7931768317295438
4,2021-12-01,1,Seasonal Naive,test,360,0.2611960573276348,0.3797126741972757,0.8952296578188126
4,2021-12-01,1,Ridge,train,2160,0.19107338640187715,0.2650960058473439,0.6437651163315414
4,2021-12-01,1,Ridge,test,360,0.22815916964117267,0.3321851735957652,0.7530844200654262
4,2021-12-01,1,Lasso,train,2160,0.190025874675003,0.26325122570090587,0.6417150327505167
4,2021-12-01,1,Lasso,test,360,0.2371943134206555,0.3472772502633477,0.7720487507599576
4,2021-12-01,1,ElasticNet,train,2160,0.189373370132766,0.26256106476077656,0.6390134519672602
4,2021-12-01,1,ElasticNet,test,360,0.23964504538317224,0.3507249927781681,0.781837203312342
