model,train_MAE,train_RMSE,test_MAE,test_RMSE
"SARIMA_(3, 1, 3)_(0, 0, 0, 0)_multistep",16.684905077910656,21.98201547587183,23.22894049779142,28.214336393803883
ETS_add_add_multistep,16.91170824514419,21.504481604695524,26.625124021834264,31.64119843789201
"SARIMA_(0, 1, 2)_(0, 1, 1, 52)_multistep",16.571380393652316,21.330968716964858,15.143803080808045,18.99283376973135
