model,train_MAE,train_RMSE,test_MAE,test_RMSE
Ridge,14.594026934108834,18.34590797614015,15.995164478096227,20.07043140736253
Lasso,14.57114562910198,18.29345316316696,16.06628396989872,20.156190656128203
ElasticNet,14.624455357519155,18.399658157227005,15.898568948379323,20.00767801338513
PLS(n_components=10),14.60707218201621,18.45536852279436,15.827958680835149,19.92753279719147
