model,train_MAE,train_RMSE,test_MAE,test_RMSE
Ridge,41.960379987520554,49.80347785649212,28.244327749997925,36.98504274937136
Lasso,41.60183216835576,48.88543104566877,26.53780738785595,35.45079541998132
ElasticNet,41.701809913817094,49.369747410963036,27.3378212109025,36.17915345674004
PLS(n_components=10),42.06565012841515,49.45985193352165,26.949236015584997,35.48195677355289
